County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Walker ,TX,21963,1022,7916,8720,2903,1402
Waller ,TX,15171,525,4198,6212,2590,1646
Ward ,TX,3978,130,1292,1324,923,309
Washington ,TX,12625,652,3790,5111,2167,905
Webb ,TX,74789,4547,24601,27390,12297,5954
Wharton ,TX,15199,1020,4876,5701,2872,730
Wheeler ,TX,2183,93,518,945,365,262
Wichita ,TX,48356,3301,17455,18422,6642,2536
Wilbarger ,TX,5180,280,1939,2113,533,315
Willacy ,TX,5782,295,2343,2009,698,437
Williamson ,TX,180160,4189,53329,83158,28741,10743
Wilson ,TX,15733,461,3523,5916,3787,2046
Winkler ,TX,2619,130,820,1017,460,192
Wise ,TX,22369,767,5130,9337,4853,2282
Wood ,TX,16510,739,5266,6883,2800,822
Yoakum ,TX,2617,106,854,807,581,269
Young ,TX,7307,318,2309,3322,985,373
Zapata ,TX,4503,288,1715,1537,646,317
Zavala ,TX,3571,346,1424,949,716,136
Beaver ,UT,2282,41,501,862,387,491
Box Elder ,UT,17569,682,3439,6514,4257,2677
Cache ,UT,38393,1341,9418,15606,7595,4433
Carbon ,UT,7829,365,1934,3008,1514,1008
Daggett ,UT,163,16,12,78,47,10
Davis ,UT,104551,2892,20391,46547,22376,12345
Duchesne ,UT,6868,265,1494,2624,1533,952
Emery ,UT,3665,130,732,1213,883,707
Garfield ,UT,1760,51,334,681,401,293
Grand ,UT,4191,199,1320,1504,804,364
Iron ,UT,17015,670,4345,6715,3371,1914
Juab ,UT,3464,81,645,1047,1030,661
Kane ,UT,2643,59,783,902,661,238
Millard ,UT,4337,181,737,1357,1386,676
Morgan ,UT,3365,31,415,1317,951,651
Piute ,UT,532,5,123,191,126,87
Rich ,UT,635,2,144,259,118,112
Salt Lake ,UT,374820,19308,103294,151060,65188,35970
San Juan ,UT,4311,292,1454,1315,856,394
Sanpete ,UT,8643,191,1476,3493,2032,1451
Sevier ,UT,7364,152,1707,2618,1833,1054
Summit ,UT,14220,335,3065,6030,3080,1710
Tooele ,UT,20478,842,3595,8199,4890,2952
Uintah ,UT,10569,326,2737,4044,2162,1300
Utah ,UT,165991,4208,32800,72565,34436,21982
Wasatch ,UT,9879,200,1740,4439,2034,1466
Washington ,UT,57144,2087,15883,23880,10253,5041
Wayne ,UT,1000,19,176,433,209,163
Weber ,UT,83632,4200,21980,31580,16180,9692
Addison ,VT,14584,619,4572,6296,2268,829
Bennington ,VT,14581,1254,4989,5747,1876,715
Caledonia ,VT,12434,933,4454,4764,1631,652
Chittenden ,VT,66160,5095,22964,27246,7833,3022
Essex ,VT,2740,152,970,1062,381,175
Franklin ,VT,18563,1077,5475,8035,2774,1202
Grand Isle ,VT,2956,83,790,1260,568,255
Lamoille ,VT,10546,460,3609,4349,1520,608
Orange ,VT,12279,638,3811,4921,1960,949
Orleans ,VT,11779,880,4071,4672,1493,663
Rutland ,VT,25338,1937,8896,10086,3222,1197
Washington ,VT,24828,2075,8957,9604,3194,998
Windham ,VT,18943,1385,7602,6770,2307,879
Windsor ,VT,24298,1286,8652,9820,3200,1340
Accomack ,VA,13438,1222,4142,4916,2127,1031
Albemarle ,VA,41496,1962,12697,16537,7016,3284
Alleghany ,VA,6600,487,2057,1873,1328,855
Amelia ,VA,4954,190,1016,1482,1377,889
Amherst ,VA,12160,685,3204,4094,2550,1627
Appomattox ,VA,6091,274,1501,2072,1215,1029
Arlington ,VA,107032,14089,50848,31866,7768,2461
Augusta ,VA,29539,1153,6868,10217,6653,4648
Bath ,VA,1801,44,469,728,301,259
Bedford ,VA,31317,1004,7220,11938,7450,3705
Bland ,VA,2367,78,649,744,590,306
Botetourt ,VA,13264,516,2796,4841,3069,2042
Brunswick ,VA,6037,578,1642,2267,944,606
Buchanan ,VA,8569,573,2794,3085,1461,656
Buckingham ,VA,5826,324,1480,1937,1245,840
Campbell ,VA,23071,1281,6706,8127,4261,2696
Caroline ,VA,10946,508,2780,4029,2306,1323
Carroll ,VA,12357,548,3521,4284,2155,1849
Charles City ,VA,2896,205,593,940,560,598
Charlotte ,VA,4661,455,1293,1503,800,610
Chesterfield ,VA,124971,3522,30851,51883,25628,13087
Clarke ,VA,5612,216,1279,1971,1421,725
Craig ,VA,2297,180,692,588,534,303
Culpeper ,VA,17071,665,3932,6000,3887,2587
Cumberland ,VA,3975,253,893,1412,731,686
Dickenson ,VA,5778,556,1924,1985,854,459
Dinwiddie ,VA,10401,436,2436,3368,2187,1974
Essex ,VA,4555,217,1451,1449,880,558
Fairfax ,VA,396501,16723,117393,172152,61447,28786
Fauquier ,VA,24562,601,4947,9595,5371,4048
Floyd ,VA,6493,258,1524,2088,1553,1070
Fluvanna ,VA,9923,227,2599,3845,1971,1281
Franklin ,VA,22997,1086,5032,8662,5206,3011
Frederick ,VA,31503,1026,7036,13009,6770,3662
Giles ,VA,6910,436,1834,2645,1364,631
Gloucester ,VA,14786,514,3083,5650,3771,1768
Goochland ,VA,8506,201,1783,3254,1984,1284
Grayson ,VA,6498,424,1892,2364,1096,722
Greene ,VA,7548,172,2084,2685,1732,875
Greensville ,VA,3647,320,985,1043,903,396
Halifax ,VA,14158,1128,3708,4578,2730,2014
Hanover ,VA,38987,1001,7661,15529,9656,5140
Henrico ,VA,128464,7033,43965,47198,20024,10244
Henry ,VA,21218,1530,6785,6681,3877,2345
Highland ,VA,1078,51,116,525,273,113
Isle of Wight ,VA,14587,657,3436,5291,3363,1840
James City ,VA,28920,973,7787,13115,5078,1967
King and Queen ,VA,2707,87,654,802,529,635
King George ,VA,9202,283,1829,3284,2356,1450
King William ,VA,6078,180,1199,2260,1579,860
Lancaster ,VA,5062,280,1574,1799,948,461
Lee ,VA,9149,1035,2860,2995,1564,695
Loudoun ,VA,128637,3149,27529,61848,24917,11194
Louisa ,VA,13871,611,2951,5159,3228,1922
Lunenburg ,VA,4293,281,1115,1517,837,543
Madison ,VA,4949,172,1194,1985,955,643
Mathews ,VA,3920,33,910,1637,909,431
Mecklenburg ,VA,12075,1041,3485,4159,2244,1146
Middlesex ,VA,4603,204,1170,1963,728,538
Montgomery ,VA,35685,1745,10002,13814,6265,3859
Nelson ,VA,6419,368,1467,2211,1481,892
New Kent ,VA,7961,193,1305,2945,2094,1424
Northampton ,VA,5148,549,1728,1762,822,287
Northumberland ,VA,5584,226,1242,2117,1141,858
Nottoway ,VA,5446,330,1708,1838,997,573
Orange ,VA,13679,457,3603,5050,3089,1480
Page ,VA,9286,506,2151,3177,1976,1476
Patrick ,VA,7755,348,2081,2680,1525,1121
Pittsylvania ,VA,26267,1503,7013,8940,5035,3776
Powhatan ,VA,10265,130,1476,4147,2814,1698
Prince Edward ,VA,7185,670,2302,2433,1124,656
Prince George ,VA,11507,558,2271,4227,2786,1665
Prince William ,VA,142000,3583,34228,60749,28233,15207
Pulaski ,VA,14533,885,4246,5551,2525,1326
Rappahannock ,VA,2913,71,597,1082,646,517
Richmond ,VA,3069,190,645,987,879,368
Roanoke ,VA,38222,1518,10828,14614,7645,3617
Rockbridge ,VA,9248,260,2508,3339,1919,1222
Rockingham ,VA,30994,1675,7246,10818,6912,4343
Russell ,VA,10812,783,2811,3703,2438,1077
Scott ,VA,8773,700,2342,3270,1442,1019
Shenandoah ,VA,17402,1034,4435,6298,3463,2172
Smyth ,VA,12686,1115,4085,4236,2365,885
Southampton ,VA,6562,515,1361,2330,1490,866
Spotsylvania ,VA,44436,1391,10103,17318,9870,5754
Stafford ,VA,47075,897,8706,19887,10903,6682
Surry ,VA,2730,139,729,764,645,453
Sussex ,VA,3794,346,1046,1295,635,472
Tazewell ,VA,16531,1318,5281,5831,2843,1258
Warren ,VA,14651,772,3434,5154,3150,2141
Washington ,VA,22321,1017,6661,8850,4189,1604
Westmoreland ,VA,7923,489,2387,2556,1459,1032
Wise ,VA,14925,1386,5338,4999,2376,826
Wythe ,VA,11983,729,3256,4013,2577,1408
York ,VA,25103,586,5558,10820,5520,2619
Alexandria city,VA,70598,6615,36198,23154,3822,809
Bristol city,VA,7334,786,2820,2340,929,459
Buena Vista city,VA,2517,85,785,1003,395,249
Charlottesville city,VA,18617,2033,7580,6482,1685,837
Chesapeake city,VA,84849,3507,22313,35292,16011,7726
Colonial Heights city,VA,7036,548,2176,2738,969,605
Covington city,VA,2384,206,837,845,360,136
Danville city,VA,18293,2988,6796,5214,2243,1052
Emporia city,VA,2086,443,740,590,110,203
Fairfax city,VA,8577,395,2269,3834,1314,765
Falls Church city,VA,5493,283,2312,2061,585,252
Franklin city,VA,3522,338,1540,951,543,150
Fredericksburg city,VA,10762,955,4636,3757,1033,381
Galax city,VA,2663,415,806,1030,336,76
Hampton city,VA,54050,4272,19922,19098,7242,3516
Harrisonburg city,VA,16723,1419,6035,5901,2080,1288
Hopewell city,VA,9224,805,3622,2952,1307,538
Lexington city,VA,2158,287,792,713,333,33
Lynchburg city,VA,28273,3092,10370,9946,3520,1345
Manassas city,VA,12898,568,4123,5106,2155,946
Manassas Park city,VA,4641,113,1445,1799,778,506
Martinsville city,VA,5532,779,2352,1546,621,234
Newport News city,VA,69835,7419,25757,24431,8541,3687
Norfolk city,VA,88353,10559,34603,29885,9157,4149
Norton city,VA,1628,212,636,564,171,45
Petersburg city,VA,13165,2592,5321,3257,1325,670
Poquoson city,VA,4593,194,813,1949,1004,633
Portsmouth city,VA,36370,4077,13978,12150,4290,1875
Radford city,VA,5573,480,2231,1725,750,387
Richmond city,VA,90301,14895,37100,27585,8027,2694
Roanoke city,VA,41740,5452,16478,13631,4090,2089
Salem city,VA,9912,698,3654,3150,1769,641
Staunton city,VA,10597,805,4020,3584,1314,874
Suffolk city,VA,33774,1966,8820,13106,6525,3357
Virginia Beach city,VA,170798,7185,50823,70677,30072,12041
Waynesboro city,VA,9193,651,3542,3527,990,483
Williamsburg city,VA,4706,356,2034,1723,458,135
Winchester city,VA,10490,800,4251,3433,1652,354
Adams ,WA,5973,360,1322,2070,1419,802
Asotin ,WA,9101,330,2471,3764,1602,934
Benton ,WA,72121,3377,18360,27623,14739,8022
Chelan ,WA,28384,1434,8355,10201,5435,2959
Clallam ,WA,32958,2065,9946,11849,5790,3308
Clark ,WA,174661,7905,46561,70723,31629,17843
Columbia ,WA,1795,150,440,694,291,220
Cowlitz ,WA,41952,2892,12046,14534,7837,4643
Douglas ,WA,15263,619,3293,6151,3228,1972
Ferry ,WA,3060,152,820,1030,690,368
Franklin ,WA,26723,927,6545,10324,5181,3746
Garfield ,WA,984,27,247,357,217,136
Grant ,WA,30818,1466,7438,12234,5843,3837
Grays Harbor ,WA,28722,2034,8710,9922,5311,2745
Island ,WA,34768,1136,8759,15160,6414,3299
Jefferson ,WA,14705,640,4243,6033,2645,1144
King ,WA,882028,90880,302755,321046,113073,54274
Kitsap ,WA,103913,5181,28210,41352,19672,9498
Kittitas ,WA,18347,748,4785,7055,3383,2376
Klickitat ,WA,8877,377,2264,3001,1886,1349
Lewis ,WA,30618,1633,7646,10409,6592,4338
Lincoln ,WA,4525,71,1161,1587,1037,669
Mason ,WA,24278,943,5660,9282,5401,2992
Okanogan ,WA,17675,796,4662,6672,3448,2097
Pacific ,WA,9279,559,2623,3631,1614,852
Pend Oreille ,WA,5727,250,1470,2054,1118,835
Pierce ,WA,323296,16726,92703,125007,57987,30873
San Juan ,WA,8252,350,2457,3229,1478,738
Skagit ,WA,48493,2033,11843,18636,10149,5832
Skamania ,WA,4816,218,1108,1800,901,789
Snohomish ,WA,293823,14115,75653,117821,54550,31684
Spokane ,WA,202811,14579,61104,74615,34050,18463
Stevens ,WA,17554,793,3988,6088,3961,2724
Thurston ,WA,109983,5055,32342,43109,19659,9818
Wahkiakum ,WA,1897,20,458,838,293,288
Walla Walla ,WA,22646,1603,6306,8642,3765,2330
Whatcom ,WA,86523,6039,24172,32980,15377,7955
Whitman ,WA,17999,1589,6442,6220,2618,1130
Yakima ,WA,83048,4311,21221,29336,17350,10830
Barbour ,WV,6324,605,2134,2209,1003,373
Berkeley ,WV,44221,2174,13183,17186,7638,4040
Boone ,WV,8932,1026,3101,3205,1154,446
Braxton ,WV,5624,429,1784,2142,823,446
Brooke ,WV,9805,703,3629,3677,1302,494
Cabell ,WV,39064,4784,15530,13452,3763,1535
Calhoun ,WV,2826,220,867,1039,537,163
Clay ,WV,3274,263,976,1221,607,207
Doddridge ,WV,2685,113,820,1041,559,152
Fayette ,WV,17441,1587,6056,6373,2459,966
Gilmer ,WV,2587,206,808,1036,314,223
Grant ,WV,4607,327,1339,1497,932,512
Greenbrier ,WV,15188,1272,5295,5384,2123,1114
Hampshire ,WV,9288,429,2521,3444,1740,1154
Hancock ,WV,12678,1106,4965,4535,1484,588
Hardy ,WV,5674,335,1501,2345,953,540
Harrison ,WV,27098,1934,9215,10365,3967,1617
Jackson ,WV,11334,895,2989,4502,1637,1311
Jefferson ,WV,20891,829,5449,7905,4339,2369
Kanawha ,WV,79070,8794,31076,27083,8750,3367
Lewis ,WV,6574,584,2165,2534,873,418
Lincoln ,WV,8208,845,2679,2836,1339,509
Logan ,WV,13816,1610,5354,4839,1702,311
McDowell ,WV,7607,1087,2431,2649,1076,364
Marion ,WV,22926,1788,7423,9044,3372,1299
Marshall ,WV,12308,886,4544,4567,1662,649
Mason ,WV,11034,934,3296,4229,1683,892
Mercer ,WV,25216,2522,9761,8537,3376,1020
Mineral ,WV,10916,754,2998,3971,2156,1037
Mingo ,WV,10501,1453,4335,3160,1218,335
Monongalia ,WV,39466,3346,14549,14889,4743,1939
Monroe ,WV,5718,400,1597,2129,968,624
Morgan ,WV,7185,304,1715,2618,1767,781
Nicholas ,WV,10069,869,3156,3754,1850,440
Ohio ,WV,17193,2156,6311,6349,1715,662
Pendleton ,WV,3174,224,888,1026,655,381
Pleasants ,WV,2835,172,819,1083,571,190
Pocahontas ,WV,3530,295,975,1319,602,339
Preston ,WV,12429,823,3513,5079,2096,918
Putnam ,WV,21613,847,6843,9260,3224,1439
Raleigh ,WV,31203,2878,11036,12002,3502,1785
Randolph ,WV,11135,1070,4168,4082,1397,418
Ritchie ,WV,4049,216,1440,1456,681,256
Roane ,WV,5562,525,1697,2106,930,304
Summers ,WV,5566,516,2004,1883,779,384
Taylor ,WV,6614,504,1991,2630,1012,477
Tucker ,WV,3142,259,941,1124,525,293
Tyler ,WV,3207,188,1243,1084,592,100
Upshur ,WV,9713,942,3328,3459,1593,391
Wayne ,WV,15124,1488,5299,5459,2128,750
Webster ,WV,3781,467,1160,1326,640,188
Wetzel ,WV,5762,414,2251,2226,641,230
Wirt ,WV,2505,198,741,992,315,259
Wood ,WV,35488,3507,11930,13487,4513,2051
Wyoming ,WV,8805,833,2680,3325,1538,429
Adams ,WI,9062,424,2780,3664,1492,702
Ashland ,WI,6565,622,2190,2489,921,343
Barron ,WI,18907,1141,5179,7724,3338,1525
Bayfield ,WI,7057,239,1976,2966,1309,567
Brown ,WI,105271,5541,33006,45699,15196,5829
Buffalo ,WI,5772,262,1318,2304,1293,595
Burnett ,WI,7305,207,1980,2888,1476,754
Calumet ,WI,19807,673,4811,8919,3727,1677
Chippewa ,WI,25601,1139,6573,10592,4820,2477
Clark ,WI,12791,1173,2955,4863,2442,1358
Columbia ,WI,24112,1253,6446,9230,4732,2451
Crawford ,WI,6654,409,1930,2583,1191,541
Dane ,WI,222929,16476,78468,92530,25235,10220
Dodge ,WI,34980,1786,10246,14149,5931,2868
Door ,WI,13191,471,3816,5711,2165,1028
Douglas ,WI,19011,1341,6446,6884,2989,1351
Dunn ,WI,16859,775,4440,6445,3447,1752
Eau Claire ,WI,40981,2390,13530,15668,6142,3251
Florence ,WI,1948,87,485,824,407,145
Fond du Lac ,WI,41542,2735,11985,16748,6880,3194
Forest ,WI,4008,176,1325,1602,677,228
Grant ,WI,19583,1155,5368,7685,3571,1804
Green ,WI,15047,641,4222,6003,2708,1473
Green Lake ,WI,7979,532,2215,3095,1388,749
Iowa ,WI,9850,306,2719,4026,1900,899
Iron ,WI,2898,144,968,1213,409,164
Jackson ,WI,8199,534,2330,2897,1585,853
Jefferson ,WI,32965,1314,8970,13941,6188,2552
Juneau ,WI,10752,398,3219,4354,1845,936
Kenosha ,WI,64111,4015,20294,25868,9614,4320
Kewaunee ,WI,8341,425,1966,3246,1641,1063
La Crosse ,WI,47518,2921,15130,19399,6805,3263
Lafayette ,WI,6722,341,1793,2572,1308,708
Langlade ,WI,8612,449,2874,3413,1324,552
Lincoln ,WI,12625,713,3577,4870,2468,997
Manitowoc ,WI,34563,2091,10236,13783,5808,2645
Marathon ,WI,55466,2667,14402,24072,10001,4324
Marinette ,WI,18473,994,5950,7442,2749,1338
Marquette ,WI,6648,286,1817,2705,1156,684
Menominee ,WI,1408,155,483,562,139,69
Milwaukee ,WI,382175,51212,158085,129911,32134,10833
Monroe ,WI,17915,1300,4998,6844,3229,1544
Oconto ,WI,16036,485,3673,6779,3480,1619
Oneida ,WI,15421,562,4617,6581,2656,1005
Outagamie ,WI,73648,3123,22478,32077,11255,4715
Ozaukee ,WI,35807,1145,9390,17061,6027,2184
Pepin ,WI,3070,149,796,1264,568,293
Pierce ,WI,15593,697,3463,6298,3169,1966
Polk ,WI,18450,689,4726,7071,4000,1964
Portage ,WI,28675,1740,8483,11530,4685,2237
Price ,WI,6688,403,2045,2620,1081,539
Racine ,WI,76974,5765,24695,30378,11045,5091
Richland ,WI,7538,513,2023,2966,1371,665
Rock ,WI,64739,3540,20511,26029,10549,4110
Rusk ,WI,6376,260,1797,2425,1287,607
St. Croix ,WI,34182,1022,7901,14290,7372,3597
Sauk ,WI,26222,1253,8056,10582,4433,1898
Sawyer ,WI,7796,407,2577,3283,1049,480
Shawano ,WI,17004,837,4512,7012,3153,1490
Sheboygan ,WI,47738,2858,15317,19338,7092,3133
Taylor ,WI,8614,541,2107,3267,1748,951
Trempealeau ,WI,12005,651,3020,4717,2354,1263
Vernon ,WI,12071,1031,3139,4938,2025,938
Vilas ,WI,10921,386,3915,4323,1708,589
Walworth ,WI,40874,2079,11807,16238,7434,3316
Washburn ,WI,7236,325,2099,2827,1482,503
Washington ,WI,54302,2011,14546,23618,9469,4658
Waukesha ,WI,158808,5719,42125,73197,26980,10787
Waupaca ,WI,22305,1021,6380,8768,4098,2038
Waushara ,WI,9934,531,2592,3722,1966,1123
Winnebago ,WI,70594,3922,23613,29403,9411,4245
Wood ,WI,32332,1590,10846,12377,5099,2420
Albany ,WY,15944,941,4897,5513,3024,1569
Big Horn ,WY,4475,128,1152,1344,1077,774
Campbell ,WY,17574,647,4208,6901,3808,2010
Carbon ,WY,6204,164,1508,2644,1184,704
Converse ,WY,5378,132,1134,2060,1061,991
Crook ,WY,2919,92,621,902,753,551
Fremont ,WY,14907,673,3994,5593,2997,1650
Goshen ,WY,5207,79,1464,1852,1190,622
Hot Springs ,WY,2118,151,584,757,455,171
Johnson ,WY,3845,156,718,1620,680,671
Laramie ,WY,39683,2021,11249,14386,8080,3947
Lincoln ,WY,6908,177,1499,2328,1725,1179
Natrona ,WY,32799,1277,8821,13026,6267,3408
Niobrara ,WY,964,48,206,316,198,196
Park ,WY,12160,508,2586,5203,2475,1388
Platte ,WY,4030,95,835,1381,1058,661
Sheridan ,WY,13251,561,3325,4917,2908,1540
Sublette ,WY,3340,23,523,1223,909,662
Sweetwater ,WY,15523,267,3338,6047,3482,2389
Teton ,WY,9019,215,2619,3457,1596,1132
Uinta ,WY,7597,261,1594,2518,1513,1711
Washakie ,WY,3365,164,895,1213,654,439
Weston ,WY,2891,71,649,858,796,517
Adjuntas Municipio,#N/A,5771,932,2621,1499,533,186
Aguada Municipio,#N/A,12830,1747,5588,3812,1079,604
Aguadilla Municipio,#N/A,21635,3890,9642,5761,1759,583
Aguas Buenas Municipio,#N/A,8488,1548,3377,2522,698,343
Aibonito Municipio,#N/A,8592,1204,3520,2731,901,236
Añasco Municipio,#N/A,8848,1132,3595,2871,923,327
Arecibo Municipio,#N/A,31910,4971,13785,9264,3024,866
Arroyo Municipio,#N/A,5908,846,3278,1357,318,109
Barceloneta Municipio,#N/A,7989,835,3651,2621,617,265
Barranquitas Municipio,#N/A,8720,1222,3608,2744,909,237
Bayamón Municipio,#N/A,67476,8908,27931,21686,6489,2462
Cabo Rojo Municipio,#N/A,15473,2104,6918,4647,1219,585
Caguas Municipio,#N/A,48184,7642,18589,15594,4874,1485
Camuy Municipio,#N/A,11394,1322,5010,3518,1236,308
Canóvanas Municipio,#N/A,14643,1857,6060,4609,1597,520
Carolina Municipio,#N/A,61909,8038,27456,18589,5883,1943
Cataño Municipio,#N/A,8706,2285,3324,2093,780,224
Cayey Municipio,#N/A,16213,2682,6172,4913,1778,668
Ceiba Municipio,#N/A,4224,761,1694,1287,364,118
Ciales Municipio,#N/A,5831,985,2407,1628,731,80
Cidra Municipio,#N/A,12942,1880,5107,3918,1584,453
Coamo Municipio,#N/A,13104,1832,5057,4532,1211,472
Comerío Municipio,#N/A,5565,1231,2246,1393,437,258
Corozal Municipio,#N/A,10535,1654,4352,3021,1010,498
Culebra Municipio,#N/A,482,116,221,97,14,34
Dorado Municipio,#N/A,11602,1339,4140,3900,1597,626
Fajardo Municipio,#N/A,12298,1841,5704,3466,918,369
Florida Municipio,#N/A,4271,469,2110,1175,370,147
Guánica Municipio,#N/A,5515,796,3081,1392,180,66
Guayama Municipio,#N/A,14022,2322,6947,3602,806,345
Guayanilla Municipio,#N/A,6510,830,2784,1945,736,215
Guaynabo Municipio,#N/A,30758,3529,12022,10541,3104,1562
Gurabo Municipio,#N/A,14529,1882,4855,4913,2217,662
Hatillo Municipio,#N/A,14160,1562,7211,3925,1155,307
Hormigueros Municipio,#N/A,6255,1081,2608,1678,675,213
Humacao Municipio,#N/A,17615,2402,7869,5224,1448,672
Isabela Municipio,#N/A,14670,1971,6398,4544,1322,435
Jayuya Municipio,#N/A,4837,857,2502,1058,221,199
Juana Díaz Municipio,#N/A,15408,2027,6536,4672,1542,631
Juncos Municipio,#N/A,12558,1429,5663,3761,1344,361
Lajas Municipio,#N/A,7665,1254,3325,2433,469,184
Lares Municipio,#N/A,9967,1497,4893,2604,716,257
Las Marías Municipio,#N/A,2708,420,1099,710,246,233
Las Piedras Municipio,#N/A,12376,1384,4913,3713,1773,593
Loíza Municipio,#N/A,8508,1956,3673,2032,601,246
Luquillo Municipio,#N/A,6582,921,3063,1902,602,94
Manatí Municipio,#N/A,14825,2826,6101,3938,1354,606
Maricao Municipio,#N/A,1846,293,796,521,156,80
Maunabo Municipio,#N/A,3833,670,1536,974,369,284
Mayagüez Municipio,#N/A,29682,6336,12992,7213,2160,981
Moca Municipio,#N/A,13374,1588,6237,3699,1220,630
Morovis Municipio,#N/A,9645,1363,3851,2731,1098,602
Naguabo Municipio,#N/A,8058,1156,3767,2175,559,401
Naranjito Municipio,#N/A,8424,1530,3199,2503,856,336
Orocovis Municipio,#N/A,6759,1166,2599,2180,603,211
Patillas Municipio,#N/A,6144,1162,2380,1916,504,182
Peñuelas Municipio,#N/A,6863,1105,2914,2069,507,268
Ponce Municipio,#N/A,52042,10383,23132,13488,3604,1435
Quebradillas Municipio,#N/A,8083,1266,3724,2446,555,92
Rincón Municipio,#N/A,5018,836,2220,1358,431,173
Río Grande Municipio,#N/A,15635,2158,6096,5071,1863,447
Sabana Grande Municipio,#N/A,7061,979,3444,2063,454,121
Salinas Municipio,#N/A,10036,1501,4173,2947,996,419
San Germán Municipio,#N/A,11722,2162,4971,3106,1082,401
San Juan Municipio,#N/A,142699,35555,62454,33238,8662,2790
San Lorenzo Municipio,#N/A,13772,2493,5430,3644,1641,564
San Sebastián Municipio,#N/A,13313,2012,5766,4151,930,454
Santa Isabel Municipio,#N/A,7367,944,3302,2056,844,221
Toa Alta Municipio,#N/A,22138,1626,7703,8106,3260,1443
Toa Baja Municipio,#N/A,27400,3171,10997,9245,3139,848
Trujillo Alto Municipio,#N/A,23800,2819,8871,8116,2801,1193
Utuado Municipio,#N/A,9593,1662,4737,1976,864,354
Vega Alta Municipio,#N/A,11918,1821,4903,3537,1165,492
Vega Baja Municipio,#N/A,18721,2751,7290,6000,2095,585
Vieques Municipio,#N/A,2258,449,968,695,146,0
Villalba Municipio,#N/A,7908,905,3327,2225,1109,342
Yabucoa Municipio,#N/A,11541,1863,4865,3133,1179,501
Yauco Municipio,#N/A,10990,1506,5172,3201,922,189
