State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
CA,Meadows Field,BFL,Bakersfield,Kern,"120,966",N,Extreme,Maintenance,Maintenance,Serious,,Yes,,,,,,,,,,,,,,
CA,Stockton Metropolitan,SCK,Stockton,San Joaquin,"80,163",N,Extreme,Maintenance,Serious,Serious,,Yes,,,,,,,,,,,,,,
CA,Arcata,ACV,Arcata,Humboldt,"55,168",N,,,,,,No,,,,,,,,,,,,,,
CA,Santa Maria Public/Capt G Allan Hancock Field,SMX,Santa Maria,Santa Barbara,"43,941",N,,,,,,No,,,,,,,,,,,,,,
CA,Redding Municipal,RDD,Redding,Shasta,"30,852",N,,,,,,No,,,,,,,,,,,,,,
CA,Mammoth Yosemite,MMH,Mammoth Lakes,Mono,"23,504",N,,,Maintenance,,,Yes,,,,,,,,,,,,,,
CA,McClellan-Palomar,CRQ,Carlsbad,San Diego,"12,380",N,Moderate,Maintenance,,Nonattainment,,Yes,,,,,,,,,,,,,,
CA,Visalia Municipal,VIS,Visalia,Tulare,"5,571",None,Extreme,,Maintenance,Serious,,Yes,,,,,,,,,,,,,,
CA,Jack McNamara Field,CEC,Crescent City,Del Norte,"4,915",None,,,,,,No,,,,,,,,,,,,,,
CA,Imperial County,IPL,Imperial,Imperial,"2,601",None,Moderate,,Serious,Moderate,,Yes,,,,,,,,,,,,,,
CO,Denver International,DEN,Denver,Denver,"26,280,043",L,Moderate,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
CO,City of Colorado Springs Municipal,COS,Colorado Springs,El Paso,"593,246",S,,Maintenance,,,,Yes,,,,,,,,,,,,,,
CO,Aspen-Pitkin County/Sardy Field,ASE,Aspen,Pitkin,"233,512",N,,,Maintenance,,,Yes,,,,,,,,,,,,,,
CO,Grand Junction Regional,GJT,Grand Junction,Mesa,"214,404",N,,,,,,No,,,,,,,,,,,,,,
CO,Durango-La Plata County,DRO,Durango,La Plata,"186,800",N,,,,,,No,,,,,,,,,,,,,,
CO,Eagle County Regional,EGE,Eagle,Eagle,"156,937",N,,,,,,No,,,,,,,,,,,,,,
CO,Montrose Regional,MTJ,Montrose,Montrose,"102,756",N,,,,,,No,,,,,,,,,,,,,,
CO,Yampa Valley,HDN,Hayden,Routt,"93,896",N,,,,,,No,,,,,,,,,,,,,,
CO,Gunnison-Crested Butte Regional,GUC,Gunnison,Gunnison,"34,412",N,,,,,,No,,,,,,,,,,,,,,
CO,Pueblo Memorial,PUB,Pueblo,Pueblo,"3,674",None,,,,,,No,,,,,,,,,,,,,,
CO,Fort Collins-Loveland Municipal,FNL,Loveland,Larimer,"3,445",None,Moderate,Maintenance,,,,Yes,,,,,,,,,,,,,,
